date,n_nodes,n_edges,total_volume,avg_degree,avg_clustering
2017-03-16,1291.0,971.0,329671.3278017953,1.504260263361735,0.0
2017-03-17,1269.0,972.0,141856.30014052635,1.5319148936170213,0.0
2017-03-18,1240.0,974.0,324570.1747679066,1.570967741935484,0.0006720430107526881
2017-03-19,1182.0,954.0,66392.4218744978,1.614213197969543,0.0
2017-03-20,1203.0,963.0,79024.18434590292,1.600997506234414,0.0
2017-03-21,1204.0,953.0,185339.98620912712,1.5830564784053156,0.0019379844961240312
2017-03-22,1180.0,950.0,198326.64389724017,1.6101694915254237,0.0017251815980629539
2017-03-23,1168.0,939.0,173124.5593657379,1.6078767123287672,0.0
2017-03-24,1231.0,971.0,179262.14461287193,1.5775792038992689,0.0
2017-03-25,1198.0,964.0,154711.53545290732,1.6093489148580968,0.0
